Lat,Lon,Alt,Year,JulianDay_Sin,Temp,Precip,O18,H2,O18 P,H2 P
47.54260867,7.58371693,304.73438,2016,-0.970063921851507,280.75803,0.0,-8.74,-59.1,-9.778768,-63.970245
47.54260867,7.58371693,304.73438,2016,-0.7116566222817751,276.4327,4.3112173e-05,-10.19,-71.1,-13.581086,-92.413055
47.54260867,7.58371693,304.73438,2016,-0.27195815753410524,273.04892,2.7328366e-05,-8.56,-60.4,-13.59295,-92.5018
47.54260867,7.58371693,304.73438,2018,0.2386727660059501,275.19965,0.0,-8.8,-62.8,-12.851468,-86.95523
47.54260867,7.58371693,304.73438,2018,-0.2884824328806098,271.19095,0.0,-9.0,-64.5,-13.326016,-90.505035
47.54260867,7.58371693,304.73438,2019,0.2386727660059501,276.47696,6.333429e-05,-9.85,-68.46,-12.525216,-84.51474
47.54260867,7.58371693,304.73438,2019,0.6994583270516471,277.14084,3.7278256e-05,-15.46,-118.68,-10.953275,-72.75601
47.54260867,7.58371693,304.73438,2020,-0.23030567023061196,293.53864,9.7740434e-05,-3.66,-25.74,-6.7653856,-41.428986
47.54260867,7.58371693,304.73438,2012,-0.27195815753410524,277.42203,0.0,-11.73,-85.6,-12.845536,-86.91086
47.54260867,7.58371693,304.73438,2017,0.9510565162951535,272.9842,0.0,-9.33,-66.0,-11.220208,-74.75278
47.54260867,7.58371693,304.73438,2017,0.741222010848596,277.1445,2.3935061e-05,-7.14,-49.1,-11.837121,-79.36752
47.54260867,7.58371693,304.73438,2017,0.29671281927349075,286.19797,0.00016714745,-5.69,-40.6,-7.156888,-44.357574
47.54260867,7.58371693,304.73438,2017,-0.2135209154397959,294.1607,0.0,-4.01,-28.8,-7.0085917,-43.24826
47.54260867,7.58371693,304.73438,2017,-0.680773409477016,296.1849,0.0,-5.25,-34.0,-6.584464,-40.075623
